nome_aula,youtube_id,ordem
Bem vindo(a)! · curso.dev,tzGQoi2KV04,1
Como estão organizadas as aulas · curso.dev,DvMwvb0jABQ,2
Pista Rápida e Pista Lenta · curso.dev,FQ6wGTal_F0,3
🚗 Pista Rápida Dia 2 · curso.dev,KMSRBEwoMok,4
Git GitHub É tudo a mesma coisa · curso.dev,1VH2qN5O6gA,5
Repositório onde tudo começa · curso.dev,NweFU3OExFg,6
Ambiente de Desenvolvimento · curso.dev,GjwUOpnKTy4,7
🚗 Pista Rápida Dia 3 · curso.dev,Ry9CEAI3-EU,8
A fundação · curso.dev,ljD9YuioMB8,9
A primeira parede · curso.dev,RqZMi7fHa14,10
🚗 Pista Rápida Dia 4 · curso.dev,w_1Ei0TDMVk,11
Protocolos e rodando o site de forma local · curso.dev,Jup9qQNr-RU,12
Página inicial · curso.dev,u67CEjhz0MU,13
Um desafio importante · curso.dev,KK9rZAGPmMo,14
🚗 Pista Rápida Dia 5 · curso.dev,9JmebI3JSYI,15
Onde fica o Git E como era feito antes disso · curso.dev,A7k3YW1cj3w,16
Git Log (e o Jogo dos 7 Erros) · curso.dev,rJZE93K6YwU,17
Git Commit (e a Escada Infinita) · curso.dev,hAFPRXCi1aE,18
Git Diff e Amend (e a Viagem no Tempo) · curso.dev,8XmqhLNq_lU,19
🚗 Pista Rápida Dia 6 · curso.dev,qbxEgdDnPnk,20
Git Push · curso.dev,feK9EO1EfiI,21
Fazendo commits de forma mais rápida · curso.dev,GN1RbdlvY5E,22
Git Push De Novo (mas agora com ainda mais força) · curso.dev,Gygw0lE0N9A,23
🚗 Pista Rápida Dia 7 · curso.dev,Cs7expQZ14o,24
Client e Server · curso.dev,avSO93Ou3jM,25
Hospedagem e Deploy · curso.dev,xuIYJosUQs8,26
Fazendo novos Deploys · curso.dev,OvgVhwSKync,27
Encerramento do Desafio (Resultados de todo mundo) 🎉 · curso.dev,miEXzLZVZfc,28
PITSTOP  Se você puder ajudar, eu agradeço muito 🤝 · curso.dev,ps6M2fHJBps,29
🚗 Pista Rápida Dia 8 · curso.dev,OK-ZrgkA4b8,30
Programação Orgânica versus Impressora 3D · curso.dev,XweF7SeuG9k,31
Por que meus projetos sempre dão certo · curso.dev,T-4ew_dtIrQ,32
🚗 Pista Rápida Dia 9 · curso.dev,EGWn9ytPQlQ,33
Qual o “segredo” para organização de tarefas · curso.dev,mgA2nEYrkzI,34
Como peitar projetos de qualquer tamanho · curso.dev,cucnOnvwauc,35
Criando a primeira Milestone e Issues do Projeto · curso.dev,em9aSMCgG7g,36
🚗 Pista Rápida Dia 10 · curso.dev,LQST7DyLR3E,37
Uma história macabra sobre Estilização de Código · curso.dev,kA6nOKX-W8Q,38
Sincronização das configurações do Editor · curso.dev,jQ8TSe-75uk,39
Configurar o EditorConfig · curso.dev,HABNpBqOQmk,40
Configurar o Prettier · curso.dev,IasndSnjeR4,41
🎁 Extra Configurar o Prettier Ignore · curso.dev,sV6lHQZMytM,42
🚗 Pista Rápida Dia 11 · curso.dev,ChE8tUC38Ag,43
Resolução de DNS (Desafio Nível 1) · curso.dev,cCTF3AhVT90,44
🚗 Pista Rápida Dia 12 · curso.dev,qAtXVIOBrew,45
Registrar um Domínio Próprio · curso.dev,r1YLf_-ABPM,46
Configurar o Servidor de DNS · curso.dev,kMsH2MWJdOw,47
🚗 Pista Rápida Dia 13 · curso.dev,32Enzy4W7pg,48
Página Em Construção e Encerramento da Milestone 0 · curso.dev,mwYg-9owkck,49
Não confie em nenhum serviço 🛑 · curso.dev,1fWFkSmRYRY,50
